2007-03-13, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-03-14, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-03-15, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-03-16, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-03-19, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-03-20, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-03-21, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-03-22, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-03-23, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-03-26, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-03-27, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-03-28, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-03-29, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-03-30, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-02, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-03, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-04, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-05, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-09, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-10, 0.14, 0.14, 0.14, 0.14, 0.0, 0.14, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-11, 0.12, 0.12, 0.12, 0.12, 12900.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-12, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-13, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-16, 0.12, 0.12, 0.12, 0.12, 300.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-17, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-18, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-19, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-20, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-23, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-24, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-25, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-26, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-27, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-04-30, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-01, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-02, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-03, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-04, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-07, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-08, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-09, 0.12, 0.12, 0.12, 0.12, 100.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-10, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-11, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-14, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-15, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-16, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-17, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-18, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-21, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-22, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-23, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-24, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-25, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-29, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-30, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-05-31, 0.12, 0.13, 0.12, 0.13, 46900.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-01, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-04, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-05, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-06, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-07, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-08, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-11, 0.12, 0.12, 0.12, 0.12, 1000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-12, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-13, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-14, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-15, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-18, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-19, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-20, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-21, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-22, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-25, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-26, 0.12, 0.12, 0.12, 0.12, 100.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-27, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-28, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-06-29, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-02, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-03, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-05, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-06, 0.12, 0.12, 0.12, 0.12, 13000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-09, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-10, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-11, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-12, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-13, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-16, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-17, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-18, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-19, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-20, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-23, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-24, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-25, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-26, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-27, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-30, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-07-31, 0.13, 0.13, 0.13, 0.13, 13100.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-01, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-02, 0.13, 0.13, 0.13, 0.13, 0.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-03, 0.12, 0.12, 0.12, 0.12, 1000.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-06, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-07, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-08, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-09, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-10, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-13, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-14, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-15, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-16, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-17, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-20, 0.12, 0.12, 0.12, 0.12, 100.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-21, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-22, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-23, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-24, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-27, 0.12, 0.12, 0.12, 0.12, 700.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-28, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-29, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-30, 0.12, 0.12, 0.12, 0.12, 1500.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-08-31, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-09-04, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-09-05, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-09-06, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-09-07, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-09-10, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-09-11, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-09-12, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-09-13, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-09-14, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-09-17, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-09-18, 0.12, 0.12, 0.12, 0.12, 100.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-09-19, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-09-20, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-09-21, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-09-24, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-09-25, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-09-26, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-09-27, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-09-28, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-01, 0.12, 0.12, 0.12, 0.12, 400.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-02, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-03, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-04, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-05, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-08, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-09, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-10, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-11, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-12, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-15, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-16, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-17, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-18, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-19, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-22, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-23, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-24, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-25, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-26, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-29, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-30, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-10-31, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-01, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-02, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-05, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-06, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-07, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-08, 0.12, 0.12, 0.12, 0.12, 0.0, 0.12, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-09, 0.12, 0.13, 0.1, 0.13, 60000.0, 0.13, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-12, 0.1, 0.1, 0.1, 0.1, 1500.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-13, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-14, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-15, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-16, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-19, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-20, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-21, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-23, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-26, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-27, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-28, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-29, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-11-30, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-03, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-04, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-05, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-06, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-07, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-10, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-11, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-12, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-13, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-14, 0.1, 0.1, 0.1, 0.1, 0.0, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-17, 0.08, 0.08, 0.08, 0.08, 5000.0, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-18, 0.08, 0.08, 0.08, 0.08, 0.0, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-19, 0.08, 0.08, 0.08, 0.08, 0.0, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-20, 0.08, 0.08, 0.08, 0.08, 0.0, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-21, 0.08, 0.08, 0.08, 0.08, 1500.0, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-24, 0.08, 0.08, 0.08, 0.08, 0.0, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-26, 0.08, 0.08, 0.08, 0.08, 0.0, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-27, 0.08, 0.08, 0.08, 0.08, 0.0, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-28, 0.08, 0.08, 0.08, 0.08, 100.0, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2007-12-31, 0.15, 0.15, 0.09, 0.09, 5600.0, 0.09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2008-01-02, 0.09, 0.09, 0.09, 0.09, 0.0, 0.09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2008-01-03, 0.09, 0.09, 0.09, 0.09, 0.0, 0.09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2008-01-04, 0.09, 0.09, 0.09, 0.09, 0.0, 0.09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
2008-01-07, 0.09, 0.09, 0.09, 0.09, 1600.0, 0.09, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0
